inventory number,description,"serial, number",date acquired,vendor,cost,value
10,"Sparkling Wine - Rose, Freixenet",2T2V03B606D22JTW,8/7/2018,"O'Kon, Cruickshank and Doyle",$9.85,$15.75
89,Leeks - Large,KH8U365FZT2C7PX7,8/7/2018,Anderson-Hammes,$6.07,$17.45
63,Vinegar - Raspberry,BHAVW46KQD9Z74ZT,8/8/2018,Lockman Inc,$5.70,$20.83
48,Lettuce - Curly Endive,82S659OWM85CVGL5,8/9/2018,"Reilly, Krajcik and Dickens",$1.88,$21.37
100,Higashimaru Usukuchi Soy,1R98OOSGGD4N9VO7,8/7/2018,Shields and Sons,$6.41,$16.79
63,Shrimp - Prawn,K6YA2HV590OOLRS2,8/9/2018,Heller LLC,$5.29,$24.23
35,Soup - Campbells Asian Noodle,NW806963X1D453TY,8/8/2018,Corkery Group,$6.90,$14.36
49,"Bread - Roll, Soft White Round",14DR1UPWZK1705IM,8/9/2018,"Brekke, Eichmann and Goyette",$3.83,$22.89
85,"Nut - Pecan, Pieces",N4YGY0C82FTX2OLW,8/8/2018,Auer-Tillman,$5.67,$11.24
96,Orange Roughy 4/6 Oz,KINNLHPCUXR67Z29,8/8/2018,"Schmidt, Gibson and D'Amore",$8.70,$12.55
72,"Jam - Raspberry,jar",6W61VBVG53Z2YTGD,8/7/2018,Leffler LLC,$4.71,$12.69
72,Grapefruit - White,E258HQD8YIRH5Q52,8/8/2018,"Macejkovic, Orn and Anderson",$1.29,$16.13
52,"Beer - Alexander Kieths, Pale Ale",PLUXI5ZIXK8IDV38,8/8/2018,Erdman-Jaskolski,$9.48,$15.16
79,Crackers - Graham,L0PGHKPGLERC5L1B,8/7/2018,"Dach, Hessel and King",$2.25,$21.54
7,Cotton Wet Mop 16 Oz,MZILE708JPQBEYK5,8/7/2018,Haley-Heller,$0.11,$19.55
27,"Soup - Knorr, Classic Can. Chili",Q56J73CB6773H7HW,8/8/2018,Hettinger-Borer,$7.55,$22.95
35,Asparagus - Frozen,UZ6VE747TPLW39XL,8/7/2018,Grant-Reichert,$3.54,$18.92
22,Grapes - Red,KW19102CYE3PP9G4,8/7/2018,Bernhard Group,$5.30,$21.69
74,Pork - Side Ribs,D84M03BKRY07P54W,8/8/2018,Daniel and Sons,$6.24,$15.12
58,Cheese - Le Cheve Noir,JIQ67311CA5879TZ,8/8/2018,Nicolas Group,$4.93,$22.14
54,"Split Peas - Yellow, Dry",454JFV1VNQD3LP98,8/8/2018,Mayert-Gibson,$3.21,$21.66
84,Sambuca - Ramazzotti,G7X3YRO68UM2GUZR,8/9/2018,Windler Group,$0.67,$22.38
98,Apricots - Dried,WTFI3I4SNUB0JFKT,8/8/2018,Zulauf-Dare,$9.66,$14.20
42,Table Cloth 81x81 Colour,7760L70S21PPSCLQ,8/8/2018,Wolff Inc,$1.55,$16.11
35,Lotus Leaves,JFJQ4SAD3U6D72W9,8/8/2018,Raynor Group,$3.85,$20.41
91,Wine - Cabernet Sauvignon,215AV4LA428E9J9S,8/8/2018,Kilback-Medhurst,$6.89,$18.91
48,"Cheese - Manchego, Spanish",OWE35AK3DT9TM4R1,8/7/2018,Kiehn-Bartell,$9.00,$19.59
83,"Olives - Green, Pitted",N1B5AZ2G27PSY7Z6,8/8/2018,Pagac-Kuhic,$9.72,$19.79
7,Dc - Frozen Momji,4JR2C50M68VL1LPK,8/9/2018,Glover LLC,$4.54,$18.50
91,"Pepsi - Diet, 355 Ml",O2KY028609J20221,8/8/2018,Hoppe-Beier,$4.42,$13.93
12,"Chestnuts - Whole,canned",T4F49RRUS6S48D5J,8/7/2018,Dooley-Daniel,$1.23,$18.87
12,Arrowroot,240F6KJ98IB7KD7X,8/9/2018,"Macejkovic, Becker and Bins",$4.02,$17.99
91,"Mushroom - Shitake, Dry",MG24S6NDSQ24AOW9,8/9/2018,"Kohler, Hodkiewicz and Skiles",$5.91,$20.37
16,Appetizer - Chicken Satay,72E3G0YDT63H40U9,8/7/2018,Mueller-Gutkowski,$0.45,$22.43
82,Sobe - Berry Energy,794KAP8Y0Z7SPG91,8/9/2018,O'Conner-Reynolds,$1.18,$14.05
63,Cheese - Gorgonzola,J5DP17ES7L783GQ9,8/7/2018,Johnston LLC,$3.31,$18.74
45,Pepper - Red Bell,A0IO64SXUZ0I6162,8/8/2018,"Wehner, Fay and Moen",$4.21,$24.35
39,Beef - Ground Medium,08V3700Y19T10077,8/7/2018,"Greenholt, Ernser and Hoppe",$3.29,$10.40
35,"Lamb - Shoulder, Boneless",8KK024D6C1Y9S2ZR,8/9/2018,"Lakin, O'Conner and Jaskolski",$7.72,$20.22
65,Salt - Table,L89V7382UNZ32YSW,8/8/2018,Emmerich-Ferry,$6.40,$17.46
85,"Cod - Salted, Boneless",A66YQXEKMV096447,8/8/2018,"Becker, Ledner and DuBuque",$7.75,$22.69
57,Bread - Multigrain,C9G9XX2QR052HTP9,8/9/2018,Runolfsdottir-Pfannerstill,$8.20,$10.60
66,Beer - Guiness,FF61N5ZH35ELL8JK,8/8/2018,Watsica Group,$0.29,$11.25
89,Bread - Kimel Stick Poly,5ZTY428NS4C77946,8/9/2018,Kassulke-Lueilwitz,$5.98,$11.82
27,"Soup - Knorr, Veg / Beef",A68JPZ7XK2WA9P1O,8/8/2018,Labadie-Torphy,$3.72,$20.88
95,Beef - Ground Lean Fresh,5487G4IL23F6R336,8/9/2018,"Conn, Monahan and Hoppe",$0.11,$18.82
86,Lotus Rootlets - Canned,Q570JH6K7UZQIB2W,8/8/2018,Nienow and Sons,$4.76,$17.51
88,Potatoes - Pei 10 Oz,75R49YO5KNXJZ88C,8/9/2018,Pacocha-Cremin,$3.18,$13.84
51,Eel Fresh,7442MBAQ232DV874,8/9/2018,Collins-Mills,$9.21,$17.98
41,Chips - Assorted,S79458RC7E3I24ST,8/9/2018,Monahan and Sons,$9.11,$21.20
55,Cookie - Oreo 100x2,383M87G7EY9M428P,8/8/2018,"Rice, Sporer and Towne",$2.58,$17.58
3,Pepper - Chilli Seeds Mild,GRO09137NB3MGUQ1,8/8/2018,Macejkovic Inc,$1.14,$20.25
78,Pears - Fiorelle,60Z2DR0S6227227B,8/8/2018,Barrows-Ratke,$2.40,$17.59
15,Laundry - Bag Cloth,0H51HB23R15S6SHP,8/7/2018,Konopelski and Sons,$1.33,$13.80
69,"Beef - Ox Tail, Frozen",C5DADQ247T9GYDD7,8/8/2018,Armstrong-Johnston,$9.35,$18.92
13,Bar Mix - Lime,2LG1907AA50C554R,8/9/2018,Leffler and Sons,$5.76,$10.49
26,Flour - Chickpea,32323F4A21CSYAS4,8/7/2018,Torp-Parisian,$5.38,$12.74
42,"Asparagus - White, Fresh",LKPD244T1WXT4ASA,8/8/2018,Rutherford-Will,$5.64,$10.58
76,Icecream - Dstk Super Cone,H8UST6501BM38A54,8/7/2018,Dickens LLC,$9.94,$23.81
2,Flour Pastry Super Fine,075IDA114C1KWS98,8/9/2018,Mayert-Bruen,$6.22,$20.88
83,Raspberries - Frozen,2OI8M02504PR922M,8/8/2018,"Hand, Paucek and Leannon",$0.88,$13.15
32,Beer - Blue Light,C887Z1ZTROO7J2LB,8/7/2018,"Shields, Little and Towne",$0.70,$21.56
82,Daves Island Stinger,941X8V0ET8Y6HUJA,8/9/2018,Heidenreich LLC,$7.68,$23.02
43,Tofu - Firm,04KCYH7978V8220M,8/7/2018,"Grant, Turner and Hintz",$2.18,$20.78
6,Bread Sour Rolls,U6WL6VUJV6B6G53P,8/7/2018,"Bartoletti, Torp and Kilback",$3.57,$21.96
80,"Shrimp - 16/20, Peeled Deviened",13A570UREVM4XX01,8/7/2018,Gleason-Pollich,$0.66,$20.17
99,Cakes Assorted,12XL50P41Q1V7445,8/7/2018,"Bartell, Donnelly and Herman",$2.87,$14.22
49,Munchies Honey Sweet Trail Mix,SKXVCC0ENJ1MI805,8/7/2018,"Hayes, Lind and Schaden",$6.15,$19.79
74,Olives - Kalamata,A7V4TF5688BIDL3G,8/9/2018,"Welch, Kerluke and Mertz",$2.54,$23.35
75,Oil - Canola,P7L58UNU0EY7D8IA,8/8/2018,Berge Inc,$4.18,$20.84
62,Alize Sunset,22G7D3W7WGR2C246,8/9/2018,"Farrell, Huel and Batz",$0.72,$18.86
73,Dill Weed - Fresh,0845DPUD4L1OP1R1,8/7/2018,Schumm-Dooley,$1.65,$17.47
65,Muffin - Blueberry Individual,D62V2LVKF1ZYIVUT,8/7/2018,"Pfeffer, Treutel and Thompson",$1.07,$21.65
60,Lotus Leaves,WFH23778TF241X46,8/7/2018,Bode-Swaniawski,$3.67,$21.55
35,Pastry - Butterscotch Baked,5V5E874I388GBDDU,8/9/2018,Dooley Inc,$0.53,$14.02
33,Chicken - Ground,85K13I2ECDI7K268,8/9/2018,"Miller, Satterfield and O'Hara",$3.72,$17.11
97,Wine - George Duboeuf Rose,881C9X19399SK49O,8/7/2018,Heathcote-Wunsch,$1.15,$24.38
70,Nori Sea Weed - Gold Label,531G7FI14IGL52N9,8/7/2018,Will-Considine,$6.70,$17.20
52,Seabream Whole Farmed,AN2FBR501K7J4T5W,8/8/2018,Olson and Sons,$4.51,$23.39
90,Jolt Cola - Electric Blue,I1CZ0140US72D0K6,8/7/2018,Rolfson LLC,$5.92,$20.52
87,"Mushrooms - Black, Dried",KD9372590JNPF21X,8/8/2018,Heathcote Inc,$6.28,$18.84
68,"Appetizer - Spring Roll, Veg",2VA2G4V650674H27,8/8/2018,Sanford-Rippin,$8.22,$24.48
25,Halibut - Steaks,RE8YQ0J54HBFV48E,8/9/2018,Strosin Group,$1.86,$15.54
98,Nori Sea Weed - Gold Label,6UD942PBETI86AZY,8/7/2018,Bogisich and Sons,$2.27,$21.14
4,"Pasta - Tortellini, Fresh",K6KYAA4737UR7ZK2,8/9/2018,Schimmel Group,$6.45,$23.09
9,Nori Sea Weed - Gold Label,W438F0J5I202R3J6,8/7/2018,"Wilderman, Quitzon and Rutherford",$7.89,$23.89
70,Cabbage - Nappa,22B748ZE95750D8L,8/9/2018,"Halvorson, Mante and Bins",$1.39,$22.30
70,Appetizer - Lobster Phyllo Roll,VUCEK0N1889000R3,8/8/2018,Nitzsche-Durgan,$2.02,$23.45
54,"Shrimp - Baby, Warm Water",K6OCM0Y045ELDJRA,8/8/2018,"Douglas, Bode and Turcotte",$7.22,$22.95
1,"Bread - White, Sliced",696BW6A03543EJV4,8/8/2018,"Tillman, Durgan and Hickle",$3.16,$12.94
90,Wine - Rubyport,5NHEIPZN0A6GI34L,8/7/2018,Fisher-Von,$4.82,$17.60
3,Bread - Crusty Italian Poly,5HV4162OZQ0MDRXF,8/8/2018,"Runolfsson, Hartmann and Runolfsson",$1.88,$15.68
9,Wine - Penfolds Koonuga Hill,3GL8EJNH5LOX8DS2,8/7/2018,Ernser-Hermiston,$2.59,$18.13
58,Puree - Strawberry,1BC05G94KPR1YKRJ,8/8/2018,Wilkinson-Ruecker,$6.61,$11.39
43,Chick Peas - Canned,6C85633361W78BX4,8/8/2018,"McGlynn, Rolfson and Torphy",$1.31,$12.05
71,Bread Foccacia Whole,PORBMJ9GM8YGU807,8/7/2018,Eichmann-Nader,$9.07,$17.69
94,Turkey Leg With Drum And Thigh,0Y8577SG08OXJUJC,8/9/2018,Marvin LLC,$1.11,$13.69
6,"Lamb - Whole Head Off,nz",Q0XOX80H1867043Z,8/8/2018,Hamill and Sons,$7.21,$15.27
89,Lettuce - Sea / Sea Asparagus,L44K11IOL5YUVY27,8/7/2018,"Fahey, Dibbert and Littel",$4.15,$17.48
50,Foam Cup 6 Oz,ZO2BK9NE5OF218FG,8/9/2018,"Considine, Wisozk and Satterfield",$6.41,$11.71
25,Cardamon Ground,B0D540M6N905IY0A,8/9/2018,Cartwright Inc,$3.30,$16.40
49,Potatoes - Parissienne,7EH8N0F8J4K6UBS0,8/8/2018,Reinger-Rosenbaum,$0.39,$24.02
81,Veal Inside - Provimi,QZ55351FN6M0Q81X,8/7/2018,Schulist-Kohler,$8.23,$13.15
2,Juice - Propel Sport,23OA2A9Y50II770P,8/9/2018,"Murray, Mertz and Maggio",$2.75,$10.18
78,Turnip - Wax,JA438F23180S12T5,8/9/2018,Halvorson-Willms,$8.13,$23.91
39,Potatoes - Parissienne,M921O1YSYQOOM368,8/8/2018,Wuckert and Sons,$1.84,$16.06
21,Lettuce - Boston Bib,24Q3KT88551F7Y1Q,8/9/2018,VonRueden and Sons,$4.29,$13.49
4,Appetizer - Southwestern,95ULHXPN5V4Y84C2,8/7/2018,Bosco-Welch,$6.31,$23.43
7,Emulsifier,8WBMZEMMAX6H1B39,8/9/2018,Steuber and Sons,$6.46,$19.16
13,"Stock - Veal, White",8992I868L7805JE8,8/8/2018,Nicolas LLC,$2.25,$20.11
24,"Butter - Salted, Micro",RF5D021OIU93659C,8/7/2018,Ullrich-Fahey,$5.71,$24.65
80,Cream - 10%,H0ES73349IJO65WY,8/8/2018,Christiansen-Lynch,$5.49,$24.43
33,"Oil - Shortening,liqud, Fry",17281KNV3I439L68,8/9/2018,Simonis Inc,$0.86,$11.99
47,Steel Wool,731568W9BTL5813X,8/9/2018,Abernathy-Wolf,$4.35,$18.81
56,Ecolab - Lime - A - Way 4/4 L,YEEL0GK80N7RUC13,8/9/2018,Hagenes Group,$1.29,$17.97
57,"Soup - Knorr, Chicken Gumbo",X47UR1J1Q3J5B6E7,8/8/2018,Thompson-Grimes,$4.78,$20.34
77,Wine - Clavet Saint Emilion,WI8773L3882WWT16,8/8/2018,Bashirian-Olson,$8.71,$10.62
26,Pie Box - Cello Window 2.5,9MOJ9MRD15Z11668,8/8/2018,King LLC,$3.94,$22.33
96,"Beef - Tongue, Fresh",C9KF946GNK9N32LX,8/8/2018,Okuneva-Purdy,$8.50,$12.30
92,Banana - Leaves,UMBPZUGP52Z07MOT,8/7/2018,Upton and Sons,$1.43,$16.86
22,Soup - Campbells Pasta Fagioli,ZE9G503G2F5K65S4,8/9/2018,"Homenick, Bode and Herzog",$2.22,$15.47
78,"Tart Shells - Sweet, 4",75H05NKVS471K66U,8/8/2018,Moore Inc,$4.58,$21.90
10,Cookie Dough - Oatmeal Rasin,8YB2RM8OP178QUA1,8/7/2018,Corkery and Sons,$1.74,$17.25
38,Muffin Batt - Choc Chk,J9L3G73HW2I59GV4,8/7/2018,"Strosin, Hansen and Purdy",$8.18,$13.60
16,Cheese - Grana Padano,D376ZFE70BZ82P41,8/9/2018,Nikolaus and Sons,$0.84,$23.51
3,Lobster - Base,S767YZ4U84PPRQD8,8/7/2018,Collier-Mills,$0.98,$13.89
68,Flour - Bread,7865472X29VVM02E,8/7/2018,Reichert Inc,$2.76,$10.17
77,Tilapia - Fillets,J7I7P902GDT8S79E,8/9/2018,Harber LLC,$4.11,$20.89
58,Wine - Remy Pannier Rose,003B7DR078EX866T,8/8/2018,Greenholt and Sons,$8.61,$12.75
57,"Wine - Red, Marechal Foch",61J01RZBMHF8040G,8/8/2018,Orn Inc,$1.04,$15.24
59,Sachet,90QLAF0Q7ES4DP50,8/9/2018,Weber Group,$6.14,$14.64
21,"Bread - Roll, Soft White Round",1QS73IY8VC6NP6IJ,8/7/2018,Bauch-Pollich,$1.40,$17.38
62,Table Cloth 90x90 White,20515K910637EO93,8/8/2018,Zieme-Runte,$0.33,$24.89
58,"Crab - Dungeness, Whole",Z8P3MSJHJ09O4649,8/7/2018,Gutmann-Bode,$1.38,$20.63
28,Cleaner - Comet,557I590838X6EURY,8/8/2018,"Reynolds, Olson and Bechtelar",$5.21,$20.26
24,"Shrimp - Baby, Warm Water",Z32YB3HA17KMPM7A,8/7/2018,Bernier LLC,$1.78,$18.43
99,"Pepper - Black, Ground",67PEWVQHZ42U88NS,8/8/2018,"Morissette, Hoeger and Little",$0.64,$20.71
98,"Juice - V8, Tomato",2QXX14W48K3L2S7V,8/7/2018,"Trantow, Metz and Kovacek",$3.35,$14.27
52,"Crab - Dungeness, Whole",34602CM1U7BV26MX,8/8/2018,"Schimmel, Christiansen and Kirlin",$0.88,$14.30
13,Lettuce - Treviso,G123891YIPYBJXJI,8/7/2018,Kunze-Russel,$1.71,$17.12
31,Food Colouring - Pink,9E7WPN0LE230W4KI,8/7/2018,"Reilly, Labadie and Schamberger",$5.24,$12.17
1,Turnip - White,G8N23D1L5EZGNW92,8/7/2018,Corkery-Cummerata,$1.16,$14.85
70,Veal Inside - Provimi,EXR1Y6WZ76MY9932,8/8/2018,Stehr-Russel,$0.02,$22.94
13,Wine - Rhine Riesling Wolf Blass,MK1YH65V02MU7G9N,8/7/2018,"Deckow, Lowe and Wiza",$1.45,$11.89
72,Sour Puss Sour Apple,K1Y27RRE475YLGO3,8/7/2018,Volkman and Sons,$1.69,$10.89
2,Raisin - Dark,46D92Y76647K0W4L,8/8/2018,Mayer-Shanahan,$7.63,$18.22
63,Jolt Cola,1VAPF337A358898C,8/8/2018,Hoppe and Sons,$1.11,$14.93
67,"Wine - Red, Concha Y Toro",WI5CT68370H4F5F2,8/9/2018,Schiller and Sons,$9.63,$23.00
94,Hot Chocolate - Individual,QX3Z19U2992863S9,8/8/2018,"Walter, Boyle and Christiansen",$7.20,$11.60
61,Pastry - Cheese Baked Scones,R05B76I9T68QIS84,8/9/2018,Larkin and Sons,$0.82,$13.81
95,Arrowroot,AR2W97PK9M17A57W,8/7/2018,"Hyatt, Hills and Greenholt",$3.60,$20.62
46,Mahi Mahi,NGCQ2996Q2DI70GD,8/8/2018,Leffler Inc,$1.79,$18.98
33,Bread - Kimel Stick Poly,7W885RP31WD7FK5V,8/8/2018,Reilly-Rice,$8.64,$17.03
82,"Juice - Apple, 1.36l",LUGVGBM31LS6814G,8/9/2018,Hyatt-Miller,$7.09,$24.91
76,Cheese - Cheddar With Claret,2SSGS4L336C00928,8/9/2018,"Connelly, Eichmann and Watsica",$2.46,$19.63
51,Mahi Mahi,NB511VGG0467630S,8/9/2018,Halvorson-Schuster,$7.78,$14.32
59,"Cake Circle, Paprus",Q1175U9F21DF9XTI,8/8/2018,Mraz Inc,$3.39,$15.64
20,Bacardi Breezer - Tropical,U723G313DO620RFO,8/7/2018,"Jenkins, Keeling and Volkman",$7.01,$23.41
47,Juice - Apple Cider,8UK1L7UUIA98L444,8/9/2018,Brakus Inc,$8.30,$17.84
61,Squash - Pepper,4I42VG7K2J8LG967,8/7/2018,Baumbach-Block,$0.05,$22.39
68,Flower - Leather Leaf Fern,6369Z2745VTW30AL,8/8/2018,"Mann, Schinner and Hackett",$9.53,$17.54
10,Pepper - Chilli Seeds Mild,5ENB7NT7100ESJMV,8/9/2018,Jones LLC,$9.66,$11.97
28,Longos - Chicken Cordon Bleu,1GNS185182I936PZ,8/7/2018,Kutch-Pagac,$2.64,$24.22
71,"Pasta - Canelloni, Single Serve",D5GQ8F24UY9LA55C,8/7/2018,Price-Koelpin,$7.38,$22.64
78,"Syrup - Golden, Lyles",F6ZIBV74U7VR506P,8/8/2018,Gleichner-Boyle,$9.65,$20.69
94,Appetizer - Crab And Brie,83JFVV1W4G7D4F0T,8/7/2018,Gusikowski-Rice,$8.01,$18.37
64,Towel Multifold,X1JJ6D20PWVVQYQ3,8/7/2018,Kilback and Sons,$2.48,$13.61
45,Plasticknivesblack,ZAG3XY2718V8Q2B3,8/7/2018,Carroll-Tromp,$3.52,$22.65
35,Chef Hat 20cm,70PY9O7T4YBX3914,8/7/2018,Wisozk-Hansen,$7.30,$18.64
66,Sage Ground Wiberg,PH2DDQ3BNDT71LFS,8/7/2018,Rolfson-Dooley,$5.76,$10.12
58,Wine - Lou Black Shiraz,M95PWF14H1OPMCOI,8/9/2018,Pfeffer-Hickle,$0.69,$19.27
64,Lumpfish Black,742V1093W2K42Z4T,8/8/2018,"Wiegand, Koch and Renner",$0.54,$21.27
99,Hagen Daza - Dk Choocolate,SC3QE90308XFON3E,8/7/2018,Fahey Inc,$3.91,$16.30
1,Flour - Chickpea,0FWH7882E4C1KY97,8/8/2018,Ebert LLC,$5.53,$18.98
95,Cheese - Augre Des Champs,Z23M49U2Q2YS8H68,8/7/2018,Cole-Macejkovic,$8.61,$15.98
60,Chicken Breast Halal,3Q7GVX87O2914R67,8/8/2018,"Kozey, Lowe and Mayert",$5.46,$19.16
45,"Pork - Sausage, Medium",94B85325YO9789JK,8/7/2018,"Gleason, Gerhold and Kerluke",$1.36,$11.06
29,Sword Pick Asst,7GMYO2A37C8C1CTT,8/9/2018,Balistreri LLC,$7.13,$14.28
62,Sesame Seed,G75Z0U47NY7GA81N,8/8/2018,Turcotte Group,$0.41,$11.87
1,Crab - Meat Combo,40B16L4N7C726M7A,8/7/2018,Conn LLC,$0.98,$11.05
24,Pork - Caul Fat,7T3B5D6AZ12638AG,8/7/2018,Wilkinson-Turner,$0.68,$17.23
48,"Iced Tea - Lemon, 460 Ml",9D3RIMBUCQP51VL4,8/8/2018,Hahn LLC,$8.12,$10.02
43,"Salmon - Atlantic, Skin On",P34QARG4YAQ81Z13,8/7/2018,Gusikowski LLC,$5.58,$14.45
10,Lamb - Ground,5DPUDZ99513M7887,8/7/2018,Predovic and Sons,$9.31,$19.90
22,Cheese - Mozzarella,I2HGJ28B55656LF6,8/8/2018,"Senger, Jerde and Bartell",$3.90,$19.48
46,"Pork - Loin, Center Cut",3HH1LH52XS14XR9K,8/8/2018,Kreiger Inc,$5.77,$16.21
49,Pork Loin Cutlets,IRILUTIJ36QAE54H,8/9/2018,"Johnson, Wilkinson and Kihn",$2.48,$14.86
1,Sprouts - Baby Pea Tendrils,4JU33F4N8T6O8225,8/7/2018,Haag LLC,$0.73,$11.44
12,Island Oasis - Raspberry,3ODZ73HG27W2V4ZI,8/8/2018,Towne LLC,$9.69,$10.29
11,Ice Cream Bar - Oreo Sandwich,15XM8DJU6Y5K4K0R,8/8/2018,"Marvin, Gerhold and Flatley",$5.52,$17.15
57,Jack Daniels,TVL980Q7D8XK2JCG,8/8/2018,"Ernser, Schultz and Gorczany",$4.30,$22.74
10,Slt - Individual Portions,KDNP8N16ZB475H15,8/9/2018,Ebert-Hoppe,$8.89,$10.28
23,Sugar Thermometer,R2D1Q806Z1500016,8/8/2018,"Nolan, Upton and Powlowski",$4.19,$13.10
7,Flour - So Mix Cake White,D92F9AIVDEK92417,8/8/2018,"O'Kon, Bechtelar and Brown",$1.84,$14.76
53,"Asparagus - Green, Fresh",86LNK96753C3889B,8/7/2018,Hermiston Group,$6.83,$18.95
19,Lid - 0090 Clear,9S5HE1I507NYL3HW,8/9/2018,Hudson-Kohler,$9.76,$17.94
61,Swiss Chard,6031509J357054BD,8/7/2018,McCullough-Weimann,$7.15,$16.90
40,Bagel - Everything Presliced,35X459JW1S6J29BX,8/9/2018,Trantow LLC,$1.99,$12.51
9,"7up Diet, 355 Ml",3J6Y29L8X94VVUE5,8/8/2018,Mayert-Purdy,$3.24,$19.58
23,"Pesto - Primerba, Paste",JJ6J8136Q9BAZ1JA,8/9/2018,Fisher-Prohaska,$8.52,$13.69
79,Cup - Translucent 7 Oz Clear,666L3O5W2LOA2593,8/8/2018,"Boyle, Leffler and Reilly",$8.82,$24.68
92,Wine - Vineland Estate Semi - Dry,KXH8X3OYN61ETQF5,8/8/2018,"Kuhic, Schiller and Little",$4.99,$16.89
69,Muffin Mix - Blueberry,604JH18LQ845NYAH,8/8/2018,"Schoen, Swaniawski and Bashirian",$9.50,$24.62
27,Jolt Cola - Red Eye,W91ZZVF4GON29XJC,8/8/2018,Rosenbaum-Hane,$2.68,$12.20
25,Salt - Celery,83OPZO32Q5ZI7LU1,8/9/2018,Zulauf Inc,$6.29,$14.97
100,Wine - Shiraz South Eastern,P748FQXOVA84SXM0,8/9/2018,White and Sons,$6.77,$11.48
57,Asparagus - Mexican,CST8Q5LTY1I0BW7S,8/9/2018,Klocko Inc,$9.17,$20.82
8,Bread - Bistro Sour,K245GB46AM222A9D,8/7/2018,Graham LLC,$5.39,$11.52
7,"Tart Shells - Sweet, 3",HES6F6YCP8171VZ2,8/7/2018,Heller-Kulas,$1.07,$13.57
20,"Brandy - Orange, Mc Guiness",1H20B3S89G69ME7U,8/9/2018,Hoppe LLC,$7.18,$11.61
94,Wine - Saint Emilion Calvet,YL91721FLD2375DN,8/9/2018,Turner Inc,$0.22,$18.89
15,Cleaner - Comet,K8B7VI5HH4G8LA1P,8/9/2018,Farrell LLC,$5.48,$24.62
55,Wanton Wrap,ZUG19443062LZ64X,8/9/2018,Spencer LLC,$9.21,$16.96
20,"Salmon - Atlantic, Skin On",E4Q17Z6HVVVG5OK9,8/7/2018,"Johnston, Kessler and Marks",$8.28,$18.91
25,Oil - Coconut,0750H68KW588N41E,8/8/2018,Renner-Friesen,$9.86,$21.11
12,Cheese - Mascarpone,1QQLZ53QZ9DY0FQT,8/7/2018,Dare Group,$3.54,$19.65
47,Barramundi,Y0X9Y133VO4U5K8J,8/7/2018,Durgan and Sons,$0.00,$19.02
66,Beer - Guiness,CFR699A0CN8611C2,8/8/2018,Rosenbaum-Murazik,$4.15,$21.10
3,Pastry - Mini French Pastries,O96S612723OY813C,8/8/2018,Rohan-Lebsack,$1.73,$19.03
34,Garbage Bags - Black,21I0987IDED806M0,8/8/2018,Bechtelar-Hettinger,$7.06,$16.41
14,"Wine - Magnotta, White",3O3407K68EUMD75Y,8/9/2018,Ritchie and Sons,$6.86,$22.17
34,Extract - Raspberry,1KKF2I684PA4L709,8/7/2018,Durgan-Klocko,$6.58,$17.55
69,Cheese - Goat With Herbs,RJMSB2V9NL7J65RQ,8/7/2018,Bode-Heller,$3.26,$21.94
40,"Pasta - Elbows, Macaroni, Dry",5M6639D895CM5876,8/8/2018,Jerde LLC,$8.14,$21.87
95,Crackers - Soda / Saltins,M7ZI37B90P01H220,8/8/2018,Lindgren and Sons,$2.86,$11.12
60,Yogurt - Plain,A568RAEUUU6S35DV,8/9/2018,Turner-Bruen,$4.60,$18.94
